countryISO3,year,TUS_age_min,TUS_age_max,TUS_file,TUS_MLdef,work_file,work_MLdef,tus_quality,include
ALB,2010,10,100,ALB_TUS_2010.csv,ALB2010_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev4_level2_MLdef.csv,A,1
AUS,2006,15,100,AUS_TUS_2006.csv,AUS2006_MLdef.csv,ISIC_economic_activity_level1_clean.csv,ISIC_Rev4_level1_MLdef.csv,A,1
AUT,2010,15,100,AUT_TUS_2010.csv,HETUS_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev4_level2_MLdef.csv,A,1
BEL,2010,15,100,BEL_TUS_2010.csv,HETUS_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev4_level2_MLdef.csv,A,1
BEN,2015,6,64,BEN_TUS_2015.csv,BEN2015_MLdef.csv,ISIC_economic_activity_level1_clean.csv,ISIC_Rev4_level1_MLdef.csv,B,1
BGR,2000,15,100,BGR_TUS_2000.csv,HETUS_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev4_level2_MLdef.csv,A,1
BLR,2014,10,100,BLR_TUS_2014.csv,BLR2014_MLdef.csv,ISIC_economic_activity_level1_clean.csv,ISIC_Rev4_level2_MLdef.csv,A,1
BRA,2001,18,64,BRA_TUS_2001.csv,BRA2001_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev4_level2_MLdef.csv,C,1
CAN,2015,15,100,CAN_TUS_2015.csv,CAN2015_MLdef.csv,CAN_economic_activities.csv,CAN_economic_activities_MLdef.csv,A,1
CHN,2008,15,74,CHN_TUS_2008.csv,CHN2008_MLdef.csv,CHN_2010_economic_activities.csv,CHN_economic_activities_MLdef.csv,B,1
CMR,2014,10,100,CMR_TUS_2014.csv,CMR2014_MLdef.csv,,,B,1
COL,2016,10,100,COL_TUS_2016.csv,COL2016_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev3.1_level1_MLdef.csv,B,1
CRI,2017,12,100,CRI_TUS_2017.csv,CRI2017_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev4_level2_MLdef.csv,C,1
DEU,2010,15,100,DEU_TUS_2010.csv,HETUS_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev4_level2_MLdef.csv,A,1
DZA,2012,12,100,DZA_TUS_2012.csv,DZA2012_MLdef.csv,ISIC_economic_activity_level1_clean.csv,ISIC_Rev4_level1_MLdef.csv,B,1
ESP,2010,15,100,ESP_TUS_2010.csv,HETUS_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev4_level2_MLdef.csv,A,1
EST,2010,15,100,EST_TUS_2010.csv,HETUS_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev4_level2_MLdef.csv,A,1
ETH,2013,10,100,ETH_TUS_2014.csv,ETH2014_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev4_level2_MLdef.csv,B,1
FIN,2010,15,100,FIN_TUS_2010.csv,HETUS_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev4_level2_MLdef.csv,A,1
FRA,2010,15,100,FRA_TUS_2010.csv,HETUS_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev4_level2_MLdef.csv,A,1
GBR,2010,15,100,GBR_TUS_2010.csv,HETUS_MLdef.csv,ISIC_economic_activity_level2_clean.csv,ISIC_Rev4_level2_MLdef.csv,A,1
