,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education,meals,active_recreation,religious,social,interactive,passive,work_employed,work_other,unknown
"('AUS', 0)",,,,,,,,,,,13.16,1.2738,,,,0.8485,,,1.6619,1.093649,0.0649134,0.7620264,3.0650395,2.0708773,,,
"('AUS', 1)",,,,,,,,,,,12.6,1.2738,,,,0.8485,,,1.6619,1.180449,0.0700654,0.8225064,3.3083035,2.2352373,,,
"('AUS', 2)",,,,,,,,,,,12.0,1.2738,,,,0.8485,,,1.6619,1.273449,0.0755854,0.8873064,3.5689435,2.4113373,,,
"('AUS', 3)",,,,,,,,,,,12.0,1.219,,,,0.8485,,,1.3381,1.4026061,0.179623,0.7803715,2.8799834,3.351816,,,
"('AUS', 4)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,,1.8348,1.1416209,0.1791626,1.3450181,2.9946992,2.9946992,,,
"('AUS', 5)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,2.277191,1.8348,0.8412594,0.1320248,0.9911426,2.2067911,2.2067911,,,
"('AUS', 6)",,,,,,,,,0.7778099,,9.7,1.1333,,,,0.8485,,2.277191,1.1619,1.6381956,0.2699249,0.7627155,2.0599533,3.3713977,,,
"('AUS', 7)",,,,,,,,,0.8040899,,9.4,1.1333,,,,0.8485,,2.277191,1.1619,1.6935456,0.2790449,0.7884855,2.1295533,3.4853077,,,
"('AUS', 8)",0.0807282,0.0092791,0.1531053,0.0046396,,,0.2217707,,0.4695229,,9.3,1.1333,0.229194,0.229194,0.0974306,0.8485,0.0148466,2.277191,1.1619,1.2730938,0.7720219,0.7571753,1.6331232,3.333056,,,
"('AUS', 9)",0.0811995,0.0086999,0.1962322,0.0048333,,,0.2213653,,0.5606633,,9.3,0.8979,0.2290986,0.2290986,0.0966661,0.8485,0.0144999,2.277191,1.0098,1.4577246,0.7829953,0.6118963,1.5263576,3.6452783,,,
"('AUS', 10)",0.0436612,0.009923,0.3701282,0.082361,,,0.1180838,,0.7174336,,9.1,0.7914,0.2073909,0.1230453,0.1885372,0.8485,0.0654919,2.277191,1.0599,1.2294608,0.6668262,0.9952778,1.5211973,3.5871678,,,
"('AUS', 11)",0.0441012,0.010023,0.3738582,0.083191,,,0.1192738,,0.7246636,,9.0,0.7914,0.2094809,0.1242853,0.1904372,0.8485,0.0661519,2.277191,1.0599,1.2418508,0.6735462,1.0053078,1.5365273,3.6233178,,,
"('AUS', 12)",0.1472367,0.0329481,0.3541917,0.0916368,,,0.0628072,,0.7897239,,8.9,0.7876,0.1245849,0.0803109,0.174007,0.8485,0.1317923,2.17773,0.9899,1.2386413,0.4190582,1.3879372,1.3982335,3.8652198,,,
"('AUS', 13)",0.1614809,0.0361356,0.41443,0.1005021,,,0.0677542,,0.7644934,,8.05,0.7057,0.1196991,0.0813051,0.1897118,0.8485,0.2066504,2.17773,0.9257,1.2997518,0.4855719,1.7367665,1.2557115,4.3724057,,,
"('AUS', 14)",0.1614809,0.0361356,0.41443,0.1005021,,,0.0677542,,0.7644934,,8.05,0.7057,0.1196991,0.0813051,0.1897118,0.8485,0.2066504,2.17773,0.9257,1.2997518,0.4855719,1.7367665,1.2557115,4.3724057,,,
"('AUS', 15)",0.1707745,0.0382153,0.4346986,0.1062862,,,0.0716536,,0.7989379,,7.4,0.7029,0.1301707,0.0883728,0.2006301,0.8485,0.2292916,2.17773,0.9286,1.310067,0.5039638,1.8403038,1.3721668,4.645543,,,
"('AUS', 16)",0.2018244,0.0441864,0.4406698,0.105092,,,0.2352627,,0.7774418,,7.4,0.7029,0.1146458,0.0740421,0.2698953,0.8485,0.257953,2.17773,0.9286,1.1404868,0.4012603,2.0863146,1.2443845,4.5500049,,,
"('AUS', 17)",0.2046489,0.0454775,0.477514,0.1077099,,,0.2393554,,0.8090213,,7.4,0.718,0.1160874,0.075397,0.2740619,0.8485,0.2620942,2.17773,0.888,0.9466506,0.4092977,2.4414251,1.0579509,4.4998815,,,
"('AUS', 18)",0.2046489,0.0454775,0.477514,0.1077099,,,0.2393554,,0.8090213,,7.4,0.718,0.1160874,0.075397,0.2740619,0.8485,0.2620942,2.17773,0.888,0.9466506,0.4092977,2.4414251,1.0579509,4.4998815,,,
"('NZL', 0)",,,,,,,,,,,13.16,1.2738,,,,0.8485,,,1.6619,1.093649,0.0649134,0.7620264,3.0650395,2.0708773,,,
"('NZL', 1)",,,,,,,,,,,12.6,1.2738,,,,0.8485,,,1.6619,1.180449,0.0700654,0.8225064,3.3083035,2.2352373,,,
"('NZL', 2)",,,,,,,,,,,12.0,1.2738,,,,0.8485,,,1.6619,1.273449,0.0755854,0.8873064,3.5689435,2.4113373,,,
"('NZL', 3)",,,,,,,,,,,12.0,1.219,,,,0.8485,,,1.3381,1.4026061,0.179623,0.7803715,2.8799834,3.351816,,,
"('NZL', 4)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,,1.8348,1.1416209,0.1791626,1.3450181,2.9946992,2.9946992,,,
"('NZL', 5)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,2.340405,1.8348,0.8329215,0.1307163,0.9813191,2.1849191,2.1849191,,,
"('NZL', 6)",,,,,,,,,0.7722724,,9.7,1.1333,,,,0.8485,,2.340405,1.1619,1.6265326,0.2680032,0.7572854,2.0452876,3.3473953,,,
"('NZL', 7)",,,,,,,,,0.7985524,,9.4,1.1333,,,,0.8485,,2.340405,1.1619,1.6818826,0.2771232,0.7830554,2.1148876,3.4613053,,,
"('NZL', 8)",0.0801783,0.0092159,0.1520623,0.0046079,,,0.2202599,,0.4663243,,9.3,1.1333,0.2276326,0.2276326,0.0967669,0.8485,0.0147454,2.340405,1.1619,1.2644208,0.7667625,0.752017,1.6219975,3.3103495,,,
"('NZL', 9)",0.0806685,0.0086431,0.1949489,0.0048017,,,0.2199177,,0.5569969,,9.3,0.8979,0.2276005,0.2276005,0.0960339,0.8485,0.0144051,2.340405,1.0098,1.448192,0.777875,0.6078949,1.5163761,3.6214403,,,
"('NZL', 10)",0.0433831,0.0098598,0.3677704,0.0818363,,,0.1173316,,0.7128632,,9.1,0.7914,0.2060697,0.1222615,0.1873361,0.8485,0.0650746,2.340405,1.0599,1.2216286,0.6625782,0.9889374,1.5115066,3.5643159,,,
"('NZL', 11)",0.0440637,0.0100145,0.3735403,0.0831202,,,0.1191724,,0.7240472,,9.0,0.7914,0.2093027,0.1241796,0.1902752,0.8485,0.0660956,2.285716,1.0599,1.2407946,0.6729733,1.0044527,1.5352204,3.620236,,,
"('NZL', 12)",0.1456925,0.0326025,0.350477,0.0906757,,,0.0621485,,0.7814414,,8.9,0.7876,0.1232782,0.0794686,0.172182,0.8485,0.13041,2.285716,0.9899,1.2256506,0.4146632,1.3733807,1.383569,3.8246818,,,
"('NZL', 13)",0.1599367,0.03579,0.4104669,0.099541,,,0.0671063,,0.7571828,,8.05,0.7057,0.1185545,0.0805276,0.1878977,0.8485,0.2046742,2.285716,0.9257,1.2873226,0.4809285,1.7201583,1.2437035,4.3305935,,,
"('NZL', 14)",0.1599367,0.03579,0.4104669,0.099541,,,0.0671063,,0.7571828,,8.05,0.7057,0.1185545,0.0805276,0.1878977,0.8485,0.2046742,2.285716,0.9257,1.2873226,0.4809285,1.7201583,1.2437035,4.3305935,,,
"('NZL', 15)",0.1692303,0.0378697,0.4307679,0.1053251,,,0.0710057,,0.7917136,,7.4,0.7029,0.1289937,0.0875737,0.198816,0.8485,0.2272183,2.285716,0.9286,1.298221,0.4994068,1.8236632,1.3597592,4.6035365,,,
"('NZL', 16)",0.1999994,0.0437869,0.4366851,0.1041417,,,0.2331354,,0.7704119,,7.4,0.7029,0.1136091,0.0733726,0.2674548,0.8485,0.2556205,2.285716,0.9286,1.1301741,0.3976319,2.0674494,1.2331324,4.5088622,,,
"('NZL', 17)",0.2028023,0.0450672,0.4732054,0.1067381,,,0.2371957,,0.8017214,,7.4,0.718,0.1150399,0.0747166,0.2715891,0.8485,0.2597293,2.285716,0.888,0.9381089,0.4056046,2.4193959,1.0484049,4.4592788,,,
"('NZL', 18)",0.2028023,0.0450672,0.4732054,0.1067381,,,0.2371957,,0.8017214,,7.4,0.718,0.1150399,0.0747166,0.2715891,0.8485,0.2597293,2.285716,0.888,0.9381089,0.4056046,2.4193959,1.0484049,4.4592788,,,
"('ABW', 0)",,,,,,,,,,,13.16,1.2738,,,,0.8485,,,1.6619,1.093649,0.0649134,0.7620264,3.0650395,2.0708773,,,
"('ABW', 1)",,,,,,,,,,,12.6,1.2738,,,,0.8485,,,1.6619,1.180449,0.0700654,0.8225064,3.3083035,2.2352373,,,
"('ABW', 2)",,,,,,,,,,,12.0,1.2738,,,,0.8485,,,1.6619,1.273449,0.0755854,0.8873064,3.5689435,2.4113373,,,
"('ABW', 3)",,,,,,,,,,,12.0,1.219,,,,0.8485,,,1.3381,1.4026061,0.179623,0.7803715,2.8799834,3.351816,,,
"('ABW', 4)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,,1.8348,1.1416209,0.1791626,1.3450181,2.9946992,2.9946992,,,
"('ABW', 5)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,2.257212625,1.8348,0.8438945,0.1324383,0.9942472,2.2137036,2.2137036,,,
"('ABW', 6)",,,,,,,,,0.7720365,,9.7,1.1333,,,,0.8485,,2.343098,1.1619,1.6260358,0.2679213,0.7570541,2.0446629,3.3463728,,,
"('ABW', 7)",,,,,,,,,0.7983165,,9.4,1.1333,,,,0.8485,,2.343098,1.1619,1.6813858,0.2770413,0.7828241,2.1142629,3.4602828,,,
"('ABW', 8)",0.0801549,0.0092132,0.1520178,0.0046066,,,0.2201955,,0.466188,,9.3,1.1333,0.2275661,0.2275661,0.0967386,0.8485,0.0147411,2.343098,1.1619,1.2640513,0.7665384,0.7517973,1.6215236,3.3093822,,,
"('ABW', 9)",0.0806459,0.0086406,0.1948943,0.0048004,,,0.2198561,,0.5568407,,9.3,0.8979,0.2275366,0.2275366,0.096007,0.8485,0.0144011,2.343098,1.0098,1.4477859,0.7776569,0.6077244,1.5159508,3.6204247,,,
"('ABW', 10)",0.0433712,0.0098571,0.3676699,0.0818139,,,0.1172995,,0.7126685,,9.1,0.7914,0.2060134,0.1222281,0.1872849,0.8485,0.0650569,2.343098,1.0599,1.2212949,0.6623973,0.9886673,1.5110937,3.5633424,,,
"('ABW', 11)",0.0438112,0.0099571,0.3713999,0.0826439,,,0.1184895,,0.7198985,,9.0,0.7914,0.2081034,0.1234681,0.1891849,0.8485,0.0657169,2.343098,1.0599,1.2336849,0.6691173,0.9986973,1.5264237,3.5994924,,,
"('ABW', 12)",0.1524125,0.0341063,0.3666426,0.0948581,,,0.0650151,,0.8174852,,8.9,0.7876,0.1289644,0.0831341,0.1801239,0.8485,0.1364252,1.815784,0.9899,1.2821834,0.4337894,1.4367275,1.4473857,4.0010943,,,
"('ABW', 13)",0.1666567,0.0372938,0.4277134,0.1037234,,,0.0699259,,0.7889972,,8.05,0.7057,0.1235357,0.0839111,0.1957925,0.8485,0.213274,1.815784,0.9257,1.3414118,0.5011356,1.7924338,1.2959599,4.5125512,,,
"('ABW', 14)",0.1666567,0.0372938,0.4277134,0.1037234,,,0.0699259,,0.7889972,,8.05,0.7057,0.1235357,0.0839111,0.1957925,0.8485,0.213274,1.815784,0.9257,1.3414118,0.5011356,1.7924338,1.2959599,4.5125512,,,
"('ABW', 15)",0.1759503,0.0393735,0.4478735,0.1095075,,,0.0738253,,0.8231521,,7.4,0.7029,0.134116,0.0910512,0.2067108,0.8485,0.2362409,1.815784,0.9286,1.3497725,0.5192379,1.8960797,1.4137544,4.78634,,,
"('ABW', 16)",0.2079413,0.0455256,0.4540256,0.1082771,,,0.2423931,,0.8010045,,7.4,0.7029,0.1181205,0.0762861,0.2780753,0.8485,0.2657711,1.815784,0.9286,1.1750526,0.4134217,2.1495465,1.2820993,4.6879063,,,
"('ABW', 17)",0.2108381,0.0468529,0.4919557,0.1109674,,,0.2465943,,0.8334888,,7.4,0.718,0.1195982,0.0776772,0.2823505,0.8485,0.2700208,1.815784,0.888,0.9752805,0.4216763,2.5152621,1.0899469,4.6359732,,,
"('ABW', 18)",0.2122362,0.0471636,0.4952177,0.1117032,,,0.2482294,,0.8390155,,7.4,0.718,0.1203913,0.0781923,0.2842227,0.8485,0.2718112,1.7340285000000002,0.888,0.9817474,0.4244723,2.5319402,1.0971741,4.6667133,,,
"('ATG', 0)",,,,,,,,,,,13.16,1.2738,,,,0.8485,,,1.6619,1.093649,0.0649134,0.7620264,3.0650395,2.0708773,,,
"('ATG', 1)",,,,,,,,,,,12.6,1.2738,,,,0.8485,,,1.6619,1.180449,0.0700654,0.8225064,3.3083035,2.2352373,,,
"('ATG', 2)",,,,,,,,,,,12.0,1.2738,,,,0.8485,,,1.6619,1.273449,0.0755854,0.8873064,3.5689435,2.4113373,,,
"('ATG', 3)",,,,,,,,,,,12.0,1.219,,,,0.8485,,,1.3381,1.4026061,0.179623,0.7803715,2.8799834,3.351816,,,
"('ATG', 4)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,,1.8348,1.1416209,0.1791626,1.3450181,2.9946992,2.9946992,,,
"('ATG', 5)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,2.343525,1.8348,0.8325099,0.1306517,0.9808343,2.1838396,2.1838396,,,
"('ATG', 6)",,,,,,,,,0.7719991,,9.7,1.1333,,,,0.8485,,2.343525,1.1619,1.625957,0.2679084,0.7570174,2.0445638,3.3462107,,,
"('ATG', 7)",,,,,,,,,0.7982791,,9.4,1.1333,,,,0.8485,,2.343525,1.1619,1.681307,0.2770284,0.7827874,2.1141638,3.4601207,,,
"('ATG', 8)",0.0801511,0.0092128,0.1520108,0.0046064,,,0.2201853,,0.4661664,,9.3,1.1333,0.2275555,0.2275555,0.0967341,0.8485,0.0147404,2.343525,1.1619,1.2639927,0.7665029,0.7517624,1.6214484,3.3092288,,,
"('ATG', 9)",0.0806423,0.0086402,0.1948856,0.0048001,,,0.2198463,,0.556816,,9.3,0.8979,0.2275265,0.2275265,0.0960027,0.8485,0.0144004,2.343525,1.0098,1.4477215,0.7776223,0.6076974,1.5158834,3.6202637,,,
"('ATG', 10)",0.0433694,0.0098567,0.367654,0.0818104,,,0.1172944,,0.7126376,,9.1,0.7914,0.2060045,0.1222228,0.1872768,0.8485,0.0650541,2.343525,1.0599,1.221242,0.6623686,0.9886245,1.5110283,3.563188,,,
"('ATG', 11)",0.0438094,0.0099567,0.371384,0.0826404,,,0.1184844,,0.7198676,,9.0,0.7914,0.2080945,0.1234628,0.1891768,0.8485,0.0657141,2.343525,1.0599,1.233632,0.6690886,0.9986545,1.5263583,3.599338,,,
"('ATG', 12)",0.1484159,0.0332119,0.3570284,0.0923707,,,0.0633103,,0.7960488,,8.9,0.7876,0.1255827,0.0809541,0.1754006,0.8485,0.1328478,2.0952669999999998,0.9899,1.2485616,0.4224144,1.3990532,1.4094319,3.8961764,,,
"('ATG', 13)",0.1626601,0.0363995,0.4174564,0.101236,,,0.068249,,0.7700762,,8.05,0.7057,0.1205732,0.0818988,0.1910972,0.8485,0.2081594,2.0952669999999998,0.9257,1.3092433,0.4891178,1.7494493,1.2648814,4.4043353,,,
"('ATG', 14)",0.1626601,0.0363995,0.4174564,0.101236,,,0.068249,,0.7700762,,8.05,0.7057,0.1205732,0.0818988,0.1910972,0.8485,0.2081594,2.0952669999999998,0.9257,1.3092433,0.4891178,1.7494493,1.2648814,4.4043353,,,
"('ATG', 15)",0.1719537,0.0384791,0.4377003,0.1070201,,,0.0721484,,0.8044546,,7.4,0.7029,0.1310696,0.088983,0.2020155,0.8485,0.2308749,2.0952669999999998,0.9286,1.3191132,0.5074437,1.8530114,1.3816418,4.6776211,,,
"('ATG', 16)",0.203218,0.0444915,0.4437126,0.1058177,,,0.2368872,,0.7828101,,7.4,0.7029,0.1154374,0.0745533,0.271759,0.8485,0.2597342,2.0952669999999998,0.9286,1.148362,0.404031,2.1007209,1.2529772,4.5814233,,,
"('ATG', 17)",0.206059,0.0457909,0.4808043,0.1084521,,,0.2410047,,0.8145958,,7.4,0.718,0.1168873,0.0759165,0.2759503,0.8485,0.2639001,2.0952669999999998,0.888,0.9531734,0.412118,2.4582475,1.0652406,4.5308876,,,
"('ATG', 18)",0.2122362,0.0471636,0.4952177,0.1117032,,,0.2482294,,0.8390155,,7.4,0.718,0.1203913,0.0781923,0.2842227,0.8485,0.2718112,1.7340285000000002,0.888,0.9817474,0.4244723,2.5319402,1.0971741,4.6667133,,,
"('BHS', 0)",,,,,,,,,,,13.16,1.2738,,,,0.8485,,,1.6619,1.093649,0.0649134,0.7620264,3.0650395,2.0708773,,,
"('BHS', 1)",,,,,,,,,,,12.6,1.2738,,,,0.8485,,,1.6619,1.180449,0.0700654,0.8225064,3.3083035,2.2352373,,,
"('BHS', 2)",,,,,,,,,,,12.0,1.2738,,,,0.8485,,,1.6619,1.273449,0.0755854,0.8873064,3.5689435,2.4113373,,,
"('BHS', 3)",,,,,,,,,,,12.0,1.219,,,,0.8485,,,1.3381,1.4026061,0.179623,0.7803715,2.8799834,3.351816,,,
"('BHS', 4)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,,1.8348,1.1416209,0.1791626,1.3450181,2.9946992,2.9946992,,,
"('BHS', 5)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,1.7554560000000001,1.8348,0.9100762,0.1428247,1.0722202,2.3873114,2.3873114,,,
"('BHS', 6)",,,,,,,,,0.8235139,,9.7,1.1333,,,,0.8485,,1.7554560000000001,1.1619,1.7344557,0.2857857,0.8075325,2.1809958,3.5695005,,,
"('BHS', 7)",,,,,,,,,0.8497939,,9.4,1.1333,,,,0.8485,,1.7554560000000001,1.1619,1.7898057,0.2949057,0.8333025,2.2505958,3.6834105,,,
"('BHS', 8)",0.0852673,0.0098008,0.1617139,0.0049004,,,0.2342402,,0.4959227,,9.3,1.1333,0.2420808,0.2420808,0.1029089,0.8485,0.0156814,1.7554560000000001,1.1619,1.3446758,0.8154302,0.7997489,1.7249485,3.5204632,,,
"('BHS', 9)",0.0855821,0.0091695,0.2068234,0.0050942,,,0.2333131,,0.590924,,9.3,0.8979,0.2414638,0.2414638,0.1018834,0.8485,0.0152825,1.7554560000000001,1.0098,1.5364023,0.8252559,0.6449222,1.6087395,3.8420245,,,
"('BHS', 10)",0.0459569,0.0104447,0.389589,0.0866914,,,0.1242925,,0.755155,,9.1,0.7914,0.2182951,0.1295148,0.1984501,0.8485,0.0689353,1.7554560000000001,1.0599,1.2941038,0.7018868,1.0476078,1.6011793,3.775775,,,
"('BHS', 11)",0.0476319,0.0108254,0.4037882,0.089851,,,0.1288225,,0.7826779,,9.0,0.7914,0.2262513,0.1342352,0.205683,0.8485,0.0714478,1.474779,1.0599,1.3412697,0.7274683,1.0857897,1.659537,3.9133897,,,
"('BHS', 12)",0.1572889,0.0351975,0.3783732,0.0978931,,,0.0670952,,0.8436403,,8.9,0.7876,0.1330906,0.0857939,0.1858868,0.8485,0.14079,1.474779,0.9899,1.3232063,0.4476683,1.482695,1.4936942,4.1291076,,,
"('BHS', 13)",0.1715331,0.038385,0.4402283,0.1067584,,,0.0719719,,0.8120832,,8.05,0.7057,0.1271504,0.0863663,0.2015214,0.8485,0.2195144,1.474779,0.9257,1.3806614,0.5157988,1.8448804,1.3338797,4.6445883,,,
"('BHS', 14)",0.1715331,0.038385,0.4402283,0.1067584,,,0.0719719,,0.8120832,,8.05,0.7057,0.1271504,0.0863663,0.2015214,0.8485,0.2195144,1.474779,0.9257,1.3806614,0.5157988,1.8448804,1.3338797,4.6445883,,,
"('BHS', 15)",0.1808267,0.0404647,0.460286,0.1125425,,,0.0758713,,0.8459653,,7.4,0.7029,0.1378329,0.0935746,0.2124397,0.8485,0.2427882,1.474779,0.9286,1.3871807,0.5336283,1.9486286,1.4529359,4.918991,,,
"('BHS', 16)",0.2137042,0.0467873,0.4666087,0.1112779,,,0.2491109,,0.8232039,,7.4,0.7029,0.1213941,0.0784004,0.285782,0.8485,0.2731368,1.474779,0.9286,1.2076186,0.4248794,2.2091201,1.317632,4.8178292,,,
"('BHS', 17)",0.2166693,0.0481487,0.5055618,0.1140365,,,0.2534144,,0.8565407,,7.4,0.718,0.122906,0.0798255,0.2901595,0.8485,0.2774888,1.474779,0.888,1.002254,0.4333387,2.5848271,1.1200917,4.7641911,,,
"('BHS', 18)",0.2122362,0.0471636,0.4952177,0.1117032,,,0.2482294,,0.8390155,,7.4,0.718,0.1203913,0.0781923,0.2842227,0.8485,0.2718112,1.7340285000000002,0.888,0.9817474,0.4244723,2.5319402,1.0971741,4.6667133,,,
"('BRB', 0)",,,,,,,,,,,13.16,1.2738,,,,0.8485,,,1.6619,1.093649,0.0649134,0.7620264,3.0650395,2.0708773,,,
"('BRB', 1)",,,,,,,,,,,12.6,1.2738,,,,0.8485,,,1.6619,1.180449,0.0700654,0.8225064,3.3083035,2.2352373,,,
"('BRB', 2)",,,,,,,,,,,12.0,1.2738,,,,0.8485,,,1.6619,1.273449,0.0755854,0.8873064,3.5689435,2.4113373,,,
"('BRB', 3)",,,,,,,,,,,12.0,1.219,,,,0.8485,,,1.3381,1.4026061,0.179623,0.7803715,2.8799834,3.351816,,,
"('BRB', 4)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,,1.8348,1.1416209,0.1791626,1.3450181,2.9946992,2.9946992,,,
"('BRB', 5)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,2.334521,1.8348,0.8336976,0.1308381,0.9822335,2.1869549,2.1869549,,,
"('BRB', 6)",,,,,,,,,0.7727878,,9.7,1.1333,,,,0.8485,,2.334521,1.1619,1.6276182,0.2681821,0.7577908,2.0466527,3.3496295,,,
"('BRB', 7)",,,,,,,,,0.7990678,,9.4,1.1333,,,,0.8485,,2.334521,1.1619,1.6829682,0.2773021,0.7835608,2.1162527,3.4635395,,,
"('BRB', 8)",0.0802295,0.0092218,0.1521594,0.0046109,,,0.2204005,,0.466622,,9.3,1.1333,0.2277779,0.2277779,0.0968287,0.8485,0.0147548,2.334521,1.1619,1.2652281,0.767252,0.7524972,1.6230331,3.312463,,,
"('BRB', 9)",0.0807179,0.0086484,0.1950684,0.0048046,,,0.2200525,,0.5573382,,9.3,0.8979,0.2277399,0.2277399,0.0960928,0.8485,0.0144139,2.334521,1.0098,1.4490793,0.7783516,0.6082674,1.5173052,3.6236591,,,
"('BRB', 10)",0.043409,0.0098657,0.3679898,0.0818851,,,0.1174016,,0.7132886,,9.1,0.7914,0.2061927,0.1223344,0.1874479,0.8485,0.0651135,2.334521,1.0599,1.2223576,0.6629736,0.9895276,1.5124086,3.566443,,,
"('BRB', 11)",0.0448238,0.0101872,0.3799833,0.0845539,,,0.1212279,,0.7365361,,9.0,0.7914,0.2129129,0.1263215,0.1935572,0.8485,0.0672357,2.112979,1.0599,1.2621967,0.6845813,1.0217783,1.561701,3.6826804,,,
"('BRB', 12)",0.1481626,0.0331553,0.3564191,0.0922131,,,0.0632022,,0.7946903,,8.9,0.7876,0.1253684,0.080816,0.1751013,0.8485,0.1326211,2.112979,0.9899,1.2464308,0.4216936,1.3966656,1.4070267,3.8895273,,,
"('BRB', 13)",0.1624068,0.0363428,0.4168063,0.1010784,,,0.0681427,,0.7688771,,8.05,0.7057,0.1203855,0.0817713,0.1907996,0.8485,0.2078353,2.112979,0.9257,1.3072046,0.4883562,1.7467252,1.2629119,4.3974773,,,
"('BRB', 14)",0.1624068,0.0363428,0.4168063,0.1010784,,,0.0681427,,0.7688771,,8.05,0.7057,0.1203855,0.0817713,0.1907996,0.8485,0.2078353,2.112979,0.9257,1.3072046,0.4883562,1.7467252,1.2629119,4.3974773,,,
"('BRB', 15)",0.1717004,0.0384225,0.4370556,0.1068625,,,0.0720421,,0.8032697,,7.4,0.7029,0.1308765,0.088852,0.201718,0.8485,0.2305348,2.112979,0.9286,1.3171702,0.5066963,1.8502819,1.3796067,4.6707312,,,
"('BRB', 16)",0.2029187,0.044426,0.4430591,0.1056618,,,0.2365383,,0.7816571,,7.4,0.7029,0.1152674,0.0744435,0.2713587,0.8485,0.2593517,2.112979,0.9286,1.1466705,0.4034359,2.0976266,1.2511316,4.574675,,,
"('BRB', 17)",0.211055,0.0469011,0.4924617,0.1110816,,,0.246848,,0.8343462,,7.4,0.718,0.1197213,0.0777571,0.2826409,0.8485,0.2702985,1.8031013076923075,0.888,0.9762837,0.42211,2.5178493,1.091068,4.6407419,,,
"('BRB', 18)",0.2122362,0.0471636,0.4952177,0.1117032,,,0.2482294,,0.8390155,,7.4,0.718,0.1203913,0.0781923,0.2842227,0.8485,0.2718112,1.7340285000000002,0.888,0.9817474,0.4244723,2.5319402,1.0971741,4.6667133,,,
"('CUB', 0)",,,,,,,,,,,13.16,1.2738,,,,0.8485,,,1.6619,1.093649,0.0649134,0.7620264,3.0650395,2.0708773,,,
"('CUB', 1)",,,,,,,,,,,12.6,1.2738,,,,0.8485,,,1.6619,1.180449,0.0700654,0.8225064,3.3083035,2.2352373,,,
"('CUB', 2)",,,,,,,,,,,12.0,1.2738,,,,0.8485,,,1.6619,1.273449,0.0755854,0.8873064,3.5689435,2.4113373,,,
"('CUB', 3)",,,,,,,,,,,12.0,1.219,,,,0.8485,,,1.3381,1.4026061,0.179623,0.7803715,2.8799834,3.351816,,,
"('CUB', 4)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,,1.8348,1.1416209,0.1791626,1.3450181,2.9946992,2.9946992,,,
"('CUB', 5)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,2.257212625,1.8348,0.8438945,0.1324383,0.9942472,2.2137036,2.2137036,,,
"('CUB', 6)",,,,,,,,,0.7750289,,9.7,1.1333,,,,0.8485,,2.308938,1.1619,1.6323383,0.2689598,0.7599884,2.052588,3.3593434,,,
"('CUB', 7)",,,,,,,,,0.8013089,,9.4,1.1333,,,,0.8485,,2.308938,1.1619,1.6876883,0.2780798,0.7857584,2.122188,3.4732534,,,
"('CUB', 8)",0.080452,0.0092474,0.1525815,0.0046237,,,0.221012,,0.4679165,,9.3,1.1333,0.2284098,0.2284098,0.0970973,0.8485,0.0147958,2.308938,1.1619,1.2687381,0.7693805,0.7545847,1.6275357,3.3216524,,,
"('CUB', 9)",0.0809328,0.0086714,0.1955877,0.0048174,,,0.2206383,,0.558822,,9.3,0.8979,0.2283462,0.2283462,0.0963486,0.8485,0.0144523,2.308938,1.0098,1.4529372,0.7804238,0.6098868,1.5213447,3.6333065,,,
"('CUB', 10)",0.0435216,0.0098913,0.3689441,0.0820975,,,0.117706,,0.7151382,,9.1,0.7914,0.2067274,0.1226516,0.187934,0.8485,0.0652823,2.308938,1.0599,1.2255274,0.6646928,0.9920936,1.5163305,3.5756912,,,
"('CUB', 11)",0.0439616,0.0099913,0.3726741,0.0829275,,,0.118896,,0.7223682,,9.0,0.7914,0.2088174,0.1238916,0.189834,0.8485,0.0659423,2.308938,1.0599,1.2379174,0.6714128,1.0021236,1.5316605,3.6118412,,,
"('CUB', 12)",0.1499709,0.0335599,0.3607692,0.0933385,,,0.0639736,,0.8043895,,8.9,0.7876,0.1268985,0.0818023,0.1772384,0.8485,0.1342397,1.986523,0.9899,1.2616435,0.4268403,1.4137119,1.4241994,3.9369989,,,
"('CUB', 13)",0.1642152,0.0367474,0.4214473,0.1022038,,,0.0689015,,0.7774382,,8.05,0.7057,0.1217259,0.0826818,0.1929241,0.8485,0.2101495,1.986523,0.9257,1.3217597,0.4937938,1.7661741,1.2769738,4.446441,,,
