,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education,meals,active_recreation,religious,social,interactive,passive,work_employed,work_other,unknown
"('SYR', 3)",,,,,,,,,,,12.0,1.219,,,,0.8485,,,1.3381,1.4026061,0.179623,0.7803715,2.8799834,3.351816,,,
"('SYR', 4)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,,1.8348,1.1416209,0.1791626,1.3450181,2.9946992,2.9946992,,,
"('SYR', 5)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,2.257212625,1.8348,0.8438945,0.1324383,0.9942472,2.2137036,2.2137036,,,
"('SYR', 6)",,,,,,,,,0.8279382,,9.7,1.1333,,,,0.8485,,1.7049509999999999,1.1619,1.7437739,0.287321,0.8118709,2.192713,3.5886772,,,
"('SYR', 7)",,,,,,,,,0.8542182,,9.4,1.1333,,,,0.8485,,1.7049509999999999,1.1619,1.7991239,0.296441,0.8376409,2.262313,3.7025872,,,
"('SYR', 8)",0.0857067,0.0098513,0.1625473,0.0049257,,,0.2354472,,0.4984783,,9.3,1.1333,0.2433283,0.2433283,0.1034392,0.8485,0.0157622,1.7049509999999999,1.1619,1.3516051,0.8196322,0.8038701,1.7338374,3.5386046,,,
"('SYR', 9)",0.0860063,0.009215,0.2078486,0.0051194,,,0.2344696,,0.5938532,,9.3,0.8979,0.2426607,0.2426607,0.1023885,0.8485,0.0153583,1.7049509999999999,1.0098,1.5440184,0.8293468,0.6481191,1.6167143,3.86107,,,
"('SYR', 10)",0.0461791,0.0104952,0.3914728,0.0871106,,,0.1248935,,0.7588065,,9.1,0.7914,0.2193507,0.1301411,0.1994097,0.8485,0.0692686,1.7049509999999999,1.0599,1.3003614,0.7052807,1.0526735,1.6089217,3.7940325,,,
"('SYR', 11)",0.0466191,0.0105952,0.3952028,0.0879406,,,0.1260835,,0.7660365,,9.0,0.7914,0.2214407,0.1313811,0.2013097,0.8485,0.0699286,1.7049509999999999,1.0599,1.3127514,0.7120007,1.0627035,1.6242517,3.8301825,,,
"('SYR', 12)",0.1620111,0.0362542,0.3897331,0.1008321,,,0.0691096,,0.8689688,,8.9,0.7876,0.1370863,0.0883697,0.1914677,0.8485,0.145017,1.14455,0.9899,1.3629328,0.4611086,1.5272099,1.5385393,4.2530755,,,
"('SYR', 13)",0.1762554,0.0394418,0.4523477,0.1096974,,,0.0739533,,0.8344397,,8.05,0.7057,0.1306508,0.088744,0.2070692,0.8485,0.2255576,1.14455,0.9257,1.4186708,0.5299986,1.8956696,1.3706012,4.772453,,,
"('SYR', 14)",0.1762554,0.0394418,0.4523477,0.1096974,,,0.0739533,,0.8344397,,8.05,0.7057,0.1306508,0.088744,0.2070692,0.8485,0.2255576,1.14455,0.9257,1.4186708,0.5299986,1.8956696,1.3706012,4.772453,,,
"('SYR', 15)",0.1855489,0.0415214,0.4723064,0.1154815,,,0.0778527,,0.8680576,,7.4,0.7029,0.1414324,0.0960183,0.2179876,0.8485,0.2491286,1.14455,0.9286,1.4234069,0.547564,1.9995168,1.4908792,5.0474501,,,
"('SYR', 16)",0.2192851,0.0480092,0.4787941,0.114184,,,0.2556164,,0.8447018,,7.4,0.7029,0.1245643,0.0804478,0.2932452,0.8485,0.2802697,1.14455,0.9286,1.2391555,0.4359751,2.2668111,1.3520419,4.9436465,,,
"('SYR', 17)",0.2223162,0.0494036,0.5187379,0.1170085,,,0.260019,,0.8788642,,7.4,0.718,0.1261092,0.081906,0.2977218,0.8485,0.2847208,1.14455,0.888,1.0283751,0.4446325,2.6521938,1.149284,4.8883572,,,
"('SYR', 18)",0.2223162,0.0494036,0.5187379,0.1170085,,,0.260019,,0.8788642,,7.4,0.718,0.1261092,0.081906,0.2977218,0.8485,0.2847208,1.14455,0.888,1.0283751,0.4446325,2.6521938,1.149284,4.8883572,,,
"('TUR', 0)",,,,,,,,,,,13.16,1.2738,,,,0.8485,,,1.6619,1.093649,0.0649134,0.7620264,3.0650395,2.0708773,,,
"('TUR', 1)",,,,,,,,,,,12.6,1.2738,,,,0.8485,,,1.6619,1.180449,0.0700654,0.8225064,3.3083035,2.2352373,,,
"('TUR', 2)",,,,,,,,,,,12.0,1.2738,,,,0.8485,,,1.6619,1.273449,0.0755854,0.8873064,3.5689435,2.4113373,,,
"('TUR', 3)",,,,,,,,,,,12.0,1.219,,,,0.8485,,,1.3381,1.4026061,0.179623,0.7803715,2.8799834,3.351816,,,
"('TUR', 4)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,,1.8348,1.1416209,0.1791626,1.3450181,2.9946992,2.9946992,,,
"('TUR', 5)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,2.257212625,1.8348,0.8438945,0.1324383,0.9942472,2.2137036,2.2137036,,,
"('TUR', 6)",,,,,,,,,0.7805845,,9.7,1.1333,,,,0.8485,,2.245518,1.1619,1.6440393,0.2708878,0.7654362,2.0673014,3.3834239,,,
"('TUR', 7)",,,,,,,,,0.8068645,,9.4,1.1333,,,,0.8485,,2.245518,1.1619,1.6993893,0.2800078,0.7912062,2.1369014,3.4973339,,,
"('TUR', 8)",0.0810038,0.0093108,0.1536279,0.0046554,,,0.2225277,,0.4711256,,9.3,1.1333,0.2299763,0.2299763,0.0977632,0.8485,0.0148973,2.245518,1.1619,1.2774393,0.7746571,0.7597598,1.6386976,3.3444329,,,
"('TUR', 9)",0.0814656,0.0087285,0.1968751,0.0048491,,,0.2220907,,0.5625004,,9.3,0.8979,0.2298493,0.2298493,0.0969828,0.8485,0.0145474,2.245518,1.0098,1.4625009,0.7855608,0.6139013,1.5313587,3.6572221,,,
"('TUR', 10)",0.0446238,0.0101418,0.3782885,0.0841768,,,0.1206872,,0.733251,,9.1,0.7914,0.2119633,0.1257581,0.1926939,0.8485,0.0669358,2.058416,1.0599,1.256567,0.6815279,1.0172209,1.5547355,3.6662549,,,
"('TUR', 11)",0.0450638,0.0102418,0.3820185,0.0850068,,,0.1218772,,0.740481,,9.0,0.7914,0.2140533,0.1269981,0.1945939,0.8485,0.0675958,2.058416,1.0599,1.268957,0.6882479,1.0272509,1.5700655,3.7024049,,,
"('TUR', 12)",0.1489429,0.0333299,0.3582961,0.0926987,,,0.0635351,,0.7988753,,8.9,0.7876,0.1260286,0.0812416,0.1760234,0.8485,0.1333195,2.058416,0.9899,1.2529948,0.4239143,1.4040207,1.4144363,3.9100102,,,
"('TUR', 13)",0.1631871,0.0365174,0.4188088,0.101564,,,0.0684701,,0.772571,,8.05,0.7057,0.1209639,0.0821641,0.1917163,0.8485,0.2088338,2.058416,0.9257,1.3134848,0.4907024,1.755117,1.2689793,4.418604,,,
"('TUR', 14)",0.1631871,0.0365174,0.4188088,0.101564,,,0.0684701,,0.772571,,8.05,0.7057,0.1209639,0.0821641,0.1917163,0.8485,0.2088338,2.058416,0.9257,1.3134848,0.4907024,1.755117,1.2689793,4.418604,,,
"('TUR', 15)",0.1724807,0.0385971,0.4390417,0.1073481,,,0.0723695,,0.80692,,7.4,0.7029,0.1314713,0.0892557,0.2026346,0.8485,0.2315824,2.058416,0.9286,1.3231558,0.5089988,1.8586901,1.385876,4.6919562,,,
"('TUR', 16)",0.2038408,0.0446279,0.4450724,0.1061419,,,0.2376132,,0.7852091,,7.4,0.7029,0.1157912,0.0747818,0.2725918,0.8485,0.2605302,2.058416,0.9286,1.1518813,0.4052692,2.1071587,1.2568171,4.5954635,,,
"('TUR', 17)",0.2066891,0.0459309,0.4822747,0.1087838,,,0.2417417,,0.8170869,,7.4,0.718,0.1172447,0.0761486,0.2767942,0.8485,0.2647071,2.058416,0.888,0.9560883,0.4133783,2.4657651,1.0684982,4.5447436,,,
"('TUR', 18)",0.2066891,0.0459309,0.4822747,0.1087838,,,0.2417417,,0.8170869,,7.4,0.718,0.1172447,0.0761486,0.2767942,0.8485,0.2647071,2.058416,0.888,0.9560883,0.4133783,2.4657651,1.0684982,4.5447436,,,
"('YEM', 0)",,,,,,,,,,,13.16,1.2738,,,,0.8485,,,1.6619,1.093649,0.0649134,0.7620264,3.0650395,2.0708773,,,
"('YEM', 1)",,,,,,,,,,,12.6,1.2738,,,,0.8485,,,1.6619,1.180449,0.0700654,0.8225064,3.3083035,2.2352373,,,
"('YEM', 2)",,,,,,,,,,,12.0,1.2738,,,,0.8485,,,1.6619,1.273449,0.0755854,0.8873064,3.5689435,2.4113373,,,
"('YEM', 3)",,,,,,,,,,,12.0,1.219,,,,0.8485,,,1.3381,1.4026061,0.179623,0.7803715,2.8799834,3.351816,,,
"('YEM', 4)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,,1.8348,1.1416209,0.1791626,1.3450181,2.9946992,2.9946992,,,
"('YEM', 5)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,2.257212625,1.8348,0.8438945,0.1324383,0.9942472,2.2137036,2.2137036,,,
"('YEM', 6)",,,,,,,,,0.8110765,,9.7,1.1333,,,,0.8485,,1.8974360000000001,1.1619,1.7082604,0.2814695,0.7953364,2.1480564,3.5155907,,,
"('YEM', 7)",,,,,,,,,0.8373565,,9.4,1.1333,,,,0.8485,,1.8974360000000001,1.1619,1.7636104,0.2905895,0.8211064,2.2176564,3.6295007,,,
"('YEM', 8)",0.0840321,0.0096589,0.1593713,0.0048294,,,0.2308468,,0.4887385,,9.3,1.1333,0.2385739,0.2385739,0.1014181,0.8485,0.0154542,1.8974360000000001,1.1619,1.3251961,0.8036175,0.7881633,1.6999601,3.4694639,,,
"('YEM', 9)",0.0843895,0.0090417,0.2039412,0.0050232,,,0.2300617,,0.5826891,,9.3,0.8979,0.2380988,0.2380988,0.1004636,0.8485,0.0150695,1.8974360000000001,1.0098,1.5149917,0.8137555,0.6359348,1.5863209,3.7884839,,,
"('YEM', 10)",0.0453322,0.0103028,0.3842931,0.0855129,,,0.1226029,,0.7448898,,9.1,0.7914,0.2153278,0.1277543,0.1957525,0.8485,0.0679982,1.8974360000000001,1.0599,1.2765125,0.6923457,1.0333672,1.5794137,3.7244492,,,
"('YEM', 11)",0.0457722,0.0104028,0.3880231,0.0863429,,,0.1237929,,0.7521198,,9.0,0.7914,0.2174178,0.1289943,0.1976525,0.8485,0.0686582,1.8974360000000001,1.0599,1.2889025,0.6990657,1.0433972,1.5947437,3.7605992,,,
