,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education,meals,active_recreation,religious,social,interactive,passive,work_employed,work_other,unknown
"('ABW', 1)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('ABW', 2)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('ABW', 3)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('ABW', 4)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('ABW', 5)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ABW', 6)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ABW', 7)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ABW', 8)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ABW', 9)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ABW', 10)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ABW', 11)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ABW', 12)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ABW', 13)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ABW', 14)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ABW', 15)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('ABW', 16)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('ABW', 17)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('ABW', 18)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('ATG', 0)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('ATG', 1)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('ATG', 2)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('ATG', 3)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('ATG', 4)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('ATG', 5)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
